城市,区县,renkou_quxian,travel_pattern,出行模式,count,sum_distance,sum_time
深圳市,宝安区,4476554,1,通勤,434090,2991687.825,139813.0247
深圳市,宝安区,4476554,2,休闲,1313264,17039620.18,612360.5026
佛山市,三水区,803226,3,其他,76048,348331.413,10617.96193
深圳市,龙岗区,4135273,1,通勤,301951,2302468.093,119578.5698
深圳市,龙岗区,4135273,2,休闲,1069748,15087936.14,606167.7059
佛山市,南海区,3667247,3,其他,426570,1882938.197,64603.26301
广州市,白云区,3742991,1,通勤,476785,3284361.375,174936.3023
广州市,白云区,3742991,2,休闲,1972160,26922003.89,1048980.425
佛山市,禅城区,1330262,3,其他,198557,671751.314,26567.11016
佛山市,南海区,3667247,1,通勤,333400,2213739.605,118390.3419
佛山市,南海区,3667247,2,休闲,1470540,20447041.7,694430.0322
佛山市,顺德区,3229090,3,其他,292134,1105798.974,38770.03258
佛山市,顺德区,3229090,1,通勤,314305,1625365.631,80520.53829
佛山市,顺德区,3229090,2,休闲,985408,13134799.17,435569.7192
佛山市,高明区,469038,3,其他,38310,171342.471,4800.145362
广州市,番禺区,2658397,1,通勤,302338,2341296.213,107679.6966
广州市,番禺区,2658397,2,休闲,1209128,25583513.35,656127.239
广州市,从化区,717684,3,其他,65241,389538.882,9126.473793
深圳市,龙华区,2528872,1,通勤,250383,1627417.846,90978.92205
深圳市,龙华区,2528872,2,休闲,803234,12063478.42,447814.2521
广州市,南沙区,846584,3,其他,82729,549007.672,12468.3886
广州市,天河区,2241826,1,通勤,615408,4587595.012,241034.5349
广州市,天河区,2241826,2,休闲,1658066,21571504.12,849661.0955
广州市,增城区,1466331,3,其他,156149,685025.351,21985.37521
惠州市,惠城区,2090578,1,通勤,92559,662336.316,35867.60419
惠州市,惠城区,2090578,2,休闲,719927,14653164.65,321652.1104
广州市,天河区,2241826,3,其他,499237,1696086.704,73392.64937
广州市,海珠区,1819037,1,通勤,357332,2350713.374,132964.3687
广州市,海珠区,1819037,2,休闲,1140811,13050231.57,560553.5472
广州市,海珠区,1819037,3,其他,398615,1240109.724,58703.40003
深圳市,南山区,1795826,1,通勤,401187,3106777.653,146535.7534
深圳市,南山区,1795826,2,休闲,964110,12035290.46,438763.9267
广州市,番禺区,2658397,3,其他,328485,1621306.278,58982.37425
广州市,花都区,1642360,1,通勤,152128,1091271.703,44484.89625
广州市,花都区,1642360,2,休闲,690663,10765398.9,327334.6328
广州市,白云区,3742991,3,其他,627319,2250305.142,94914.65347
深圳市,福田区,1553225,1,通勤,323012,2591853.604,125539.0917
深圳市,福田区,1553225,2,休闲,941951,11507135.44,439173.556
广州市,花都区,1642360,3,其他,227305,976570.373,32849.61636
广州市,增城区,1466331,1,通勤,106128,883793.091,35021.18997
广州市,增城区,1466331,2,休闲,484993,7637261.899,217620.0802
广州市,荔湾区,1238305,3,其他,222367,827394.41,38688.79937
惠州市,惠阳区,1404137,1,通勤,43640,393530.001,20541.09226
惠州市,惠阳区,1404137,2,休闲,346235,8595359.441,188419.3169
广州市,越秀区,1038643,3,其他,320591,1347734.625,59928.00414
珠海市,香洲区,1384317,1,通勤,204160,1299998.066,95337.84552
珠海市,香洲区,1384317,2,休闲,672854,8027526.23,338712.807
广州市,黄埔区,1264447,3,其他,170028,678789.816,24924.42318
佛山市,禅城区,1330262,1,通勤,179698,951997.887,58097.25724
佛山市,禅城区,1330262,2,休闲,654060,7152772.186,274791.4663
惠州市,博罗县,1210878,3,其他,39674,590289.178,12380.94341
广州市,黄埔区,1264447,1,通勤,215598,1593082.505,71024.07331
广州市,黄埔区,1264447,2,休闲,611288,8086220.127,278588.854
惠州市,惠东县,1018076,3,其他,34487,435069.139,6663.303229
广州市,荔湾区,1238305,1,通勤,215556,1498595.988,86205.04183
广州市,荔湾区,1238305,2,休闲,756494,8771509.985,380880.6685
惠州市,惠城区,2090578,3,其他,110641,1017485.922,23300.53076
惠州市,博罗县,1210878,1,通勤,20335,218038.911,13519.37208
惠州市,博罗县,1210878,2,休闲,226957,7890756.1,158926.9815
惠州市,惠阳区,1404137,3,其他,56965,553105.493,13500.75391
深圳市,罗湖区,1143801,1,通勤,158962,1277682.939,62391.77649
深圳市,罗湖区,1143801,2,休闲,561642,8033063.011,297680.663
惠州市,龙门县,319183,3,其他,5891,102583.84,1876.520267
深圳市,光明区,1095289,1,通勤,89099,494080.173,23068.00449
深圳市,光明区,1095289,2,休闲,354229,5731395.629,160334.0786
