区县,城市,population_district
荔湾区,广州市,1238305
越秀区,广州市,1038643
海珠区,广州市,1819037
天河区,广州市,2241826
白云区,广州市,3742991
黄埔区,广州市,1264447
番禺区,广州市,2658397
花都区,广州市,1642360
南沙区,广州市,846584
从化区,广州市,717684
增城区,广州市,1466331
罗湖区,深圳市,1143801
福田区,深圳市,1553225
南山区,深圳市,1795826
宝安区,深圳市,4476554
龙岗区,深圳市,4135273
盐田区,深圳市,214225
龙华区,深圳市,2528872
坪山区,深圳市,551333
香洲区,珠海市,1384317
斗门区,珠海市,608899
金湾区,珠海市,446369
禅城区,佛山市,1330262
南海区,佛山市,3667247
顺德区,佛山市,3229090
三水区,佛山市,803226
高明区,佛山市,469038
蓬江区,江门市,853007
江海区,江门市,364694
新会区,江门市,909277
台山市,江门市,907744
开平市,江门市,748777
鹤山市,江门市,530684
恩平市,江门市,483907
端州区,肇庆市,602402
鼎湖区,肇庆市,209116
高要区,肇庆市,741591
广宁县,肇庆市,408112
怀集县,肇庆市,805177
封开县,肇庆市,374848
德庆县,肇庆市,331438
四会市,肇庆市,640910
惠城区,惠州市,2090578
惠阳区,惠州市,1404137
博罗县,惠州市,1210878
惠东县,惠州市,1018076
龙门县,惠州市,319183
东莞市,东莞市,10466625
中山市,中山市,4418060
