,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
0,5.320387263,209116,3.318197465,4.330385202,2080.642501,21398.59217,1
1,5.337553116,217547.0085,3.339631159,4.35434927,2185.904374,22612.53592,1
2,5.354718968,226317.9331,3.361064853,4.378313338,2296.491554,23895.34678,1
3,5.371884821,235442.4784,3.382498546,4.402277405,2412.673456,25250.93159,1
4,5.389050673,244934.9014,3.40393224,4.426241473,2534.733121,26683.41884,1
5,5.406216526,254810.034,3.425365933,4.450205541,2662.967912,28197.1712,1
6,5.423382378,265083.306,3.446799627,4.474169609,2797.690234,29796.79884,1
7,5.440548231,275770.7694,3.46823332,4.498133677,2939.228299,31487.17347,1
8,5.457714083,286889.1233,3.489667014,4.522097745,3087.926923,33273.44319,1
9,5.474879936,298455.7401,3.511100708,4.546061813,3244.148365,35161.04812,1
10,5.492045788,310488.6925,3.532534401,4.57002588,3408.273212,37155.73703,1
11,5.509211641,323006.7819,3.553968095,4.593989948,3580.701307,39263.58478,1
12,5.526377494,336029.5679,3.575401788,4.617954016,3761.852718,41491.01089,1
13,5.543543346,349577.3985,3.596835482,4.641918084,3952.168769,43844.79906,1
14,5.560709199,363671.442,3.618269175,4.665882152,4152.113106,46332.1178,1
15,5.577875051,378333.7204,3.639702869,4.68984622,4362.172836,48960.54233,1
16,5.595040904,393587.1434,3.661136563,4.713810288,4582.859707,51738.07757,1
17,5.612206756,409455.5444,3.682570256,4.737774356,4814.711357,54673.1826,1
18,5.629372609,425963.7177,3.70400395,4.761738423,5058.292623,57774.79636,1
19,5.646538461,443137.4572,3.725437643,4.785702491,5314.19692,61052.3649,1
20,5.663704314,461003.5968,3.746871337,4.809666559,5583.047681,64515.87014,1
21,5.680870166,479590.0524,3.76830503,4.833630627,5865.499883,68175.8603,1
22,5.698036019,498925.865,3.789738724,4.857594695,6162.241636,72043.48198,1
23,5.715201871,519041.2469,3.811172418,4.881558763,6473.995864,76130.51413,1
24,5.732367724,539967.6282,3.832606111,4.905522831,6801.522063,80449.40391,1
25,5.749533577,561737.7062,3.854039805,4.929486898,7145.618154,85013.30464,1
26,5.766699429,584385.4967,3.875473498,4.953450966,7507.122425,89836.1158,1
27,5.783865282,607946.3868,3.896907192,4.977415034,7886.915574,94932.5254,1
28,5.801031134,632457.19,3.918340885,5.001379102,8285.922854,100318.0547,1
29,5.818196987,657956.2046,3.939774579,5.02534317,8705.116328,106009.1055,1
30,5.835362839,684483.2725,3.961208273,5.049307238,9145.517237,112023.01,1
31,5.852528692,712079.8422,3.982641966,5.073271306,9608.198488,118378.0838,1
32,5.869694544,740789.0332,4.00407566,5.086123849,10094.28726,121933.7271,1
33,5.886860397,770655.7034,4.025509353,5.09622751,10604.96778,124803.7142,1
34,5.904026249,801726.5195,4.046943047,5.106331172,11141.48415,127741.2531,1
35,5.921192102,834050.0293,4.06837674,5.116434834,11705.14345,130747.9336,1
36,5.938357954,867676.7382,4.089810434,5.126538495,12297.31886,133825.3831,1
37,5.955523807,902659.1878,4.111244128,5.136642157,12919.45304,136975.2674,1
38,5.97268966,939052.038,4.132677821,5.146745819,13573.06163,140199.2914,1
39,5.989855512,976912.1524,4.154111515,5.15684948,14259.73697,143499.2001,1
40,6.007021365,1016298.687,4.175545208,5.166953142,14981.15193,146876.7796,1
41,6.024187217,1057273.184,4.196978902,5.177056803,15739.06402,150333.8582,1
42,6.04135307,1099899.665,4.218412596,5.187160465,16535.31968,153872.3069,1
43,6.058518922,1144244.734,4.239846289,5.197264127,17371.85873,157494.0411,1
44,6.075684775,1190377.679,4.261279983,5.207367788,18250.71918,161201.021,1
45,6.092850627,1238370.584,4.282713676,5.21747145,19174.04208,164995.2531,1
46,6.11001648,1288298.437,4.30414737,5.227575111,20144.07686,168878.7911,1
47,6.127182332,1340239.25,4.325581063,5.237678773,21163.18671,172853.7369,1
48,6.144348185,1394274.18,4.347014757,5.247782435,22233.85438,176922.2422,1
49,6.161514038,1450487.657,4.368448451,5.257886096,23358.68825,181086.5089,1
50,6.17867989,1508967.514,4.389882144,5.267989758,24540.42864,185348.7911,1
51,6.195845743,1569805.125,4.411315838,5.278093419,25781.9545,189711.3958,1
52,6.213011595,1633095.549,4.432749531,5.288197081,27086.29046,194176.6843,1
53,6.230177448,1698937.677,4.43991367,5.298300743,27536.81263,198747.0736,1
54,6.2473433,1767434.386,4.444693993,5.308404404,27841.58741,203425.0373,1
55,6.264509153,1838692.704,4.449474317,5.318508066,28149.73541,208213.1075,1
56,6.281675005,1912823.97,4.454254641,5.328611727,28461.29396,213113.8758,1
57,6.298840858,1989944.013,4.459034965,5.338715389,28776.3008,218129.9948,1
58,6.31600671,2070173.335,4.463815288,5.348819051,29094.79412,223264.1796,1
59,6.333172563,2153637.293,4.468595612,5.358922712,29416.81249,228519.2091,1
60,6.350338415,2240466.298,4.473375936,5.369026374,29742.39492,233897.9276,1
61,6.367504268,2330796.021,4.47815626,5.379130036,30071.58087,239403.2465,1
62,6.384670121,2424767.601,4.482936583,5.389233697,30404.41022,245038.1456,1
63,6.401835973,2522527.869,4.487716907,5.399337359,30740.92329,250805.6748,1
64,6.419001826,2624229.575,4.492497231,5.40944102,31081.16086,256708.9559,1
65,6.436167678,2730031.626,4.497277555,5.419544682,31425.16414,262751.1841,1
66,6.453333531,2840099.338,4.502057879,5.429648344,31772.97481,268935.6299,1
67,6.470499383,2954604.692,4.506838202,5.439752005,32124.63503,275265.6407,1
68,6.487665236,3073726.602,4.511618526,5.449855667,32480.18738,281744.6427,1
69,6.504831088,3197651.194,4.51639885,5.459959328,32839.67495,288376.1427,1
70,6.521996941,3326572.1,4.521179174,5.47006299,33203.1413,295163.73,1
71,6.539162793,3460690.76,4.525959497,5.480166652,33570.63045,302111.0787,1
72,6.556328646,3600216.732,4.530739821,5.490270313,33942.18695,309221.949,1
73,6.573494498,3745368.025,4.535520145,5.500373975,34317.85579,316500.1898,1
74,6.590660351,3896371.437,4.540300469,5.510477636,34697.6825,323949.7405,1
75,6.607826204,4053462.91,4.545080792,5.520581298,35081.71309,331574.6333,1
76,6.624992056,4216887.9,4.549861116,5.53068496,35469.9941,339378.9953,1
77,6.642157909,4386901.756,4.55464144,5.540788621,35862.57256,347367.0506,1
78,6.659323761,4563770.126,4.559421764,5.550892283,36259.49604,355543.123,1
79,6.676489614,4747769.363,4.564202087,5.560995944,36660.81264,363911.6378,1
80,6.693655466,4939186.968,4.568982411,5.571099606,37066.57097,372477.1246,1
81,6.710821319,5138322.027,4.573762735,5.581203268,37476.82019,381244.2196,1
82,6.727987171,5345485.69,4.578543059,5.591306929,37891.61001,390217.6681,1
83,6.745153024,5561001.649,4.583323383,5.601410591,38310.99068,399402.3271,1
84,6.762318876,5785206.645,4.588103706,5.611514252,38735.01302,408803.1678,1
85,6.779484729,6018450.999,4.59288403,5.621617914,39163.7284,418425.2787,1
86,6.796650581,6261099.153,4.597664354,5.631721576,39597.18876,428273.8679,1
87,6.813816434,6513530.244,4.602444678,5.641825237,40035.44661,438354.2659,1
88,6.830982287,6776138.694,4.607225001,5.651928899,40478.55506,448671.929,1
89,6.848148139,7049334.828,4.612005325,5.662032561,40926.5678,459232.4418,1
90,6.865313992,7333545.513,4.616785649,5.672136222,41379.53909,470041.5202,1
91,6.882479844,7629214.827,4.621565973,5.682239884,41837.52383,481105.0148,1
92,6.899645697,7936804.753,4.626346296,5.692343545,42300.57749,492428.9138,1
93,6.916811549,8256795.897,4.63112662,5.702447207,42768.75619,504019.3466,1
94,6.933977402,8589688.245,4.635906944,5.712550869,43242.11665,515882.5865,1
95,6.951143254,8936001.938,4.640687268,5.72265453,43720.71621,528025.0547,1
96,6.968309107,9296278.092,4.645467592,5.732758192,44204.61287,540453.3234,1
97,6.985474959,9671079.634,4.650247915,5.742861853,44693.86525,553174.1197,1
98,7.002640812,10060992.19,4.655028239,5.752965515,45188.53263,566194.3288,1
99,7.019806664,10466625,4.659808563,5.763069177,45688.67494,579520.9981,1
0,5.320387263,209116,3.502273098,4.323062316,3178.872417,21040.80328,3
1,5.337553116,217547.0085,3.533902937,4.354704376,3419.030198,22631.03288,3
2,5.354718968,226317.9331,3.565532775,4.386346435,3677.331444,24341.44945,3
3,5.371884821,235442.4784,3.597162614,4.417988495,3955.146859,26181.13651,3
4,5.389050673,244934.9014,3.628792453,4.449630555,4253.950702,28159.86412,3
5,5.406216526,254810.034,3.660422291,4.481272615,4575.328609,30288.14073,3
6,5.423382378,265083.306,3.69205213,4.512914674,4920.986006,32577.26902,3
7,5.440548231,275770.7694,3.723681969,4.544556734,5292.757164,35039.4059,3
8,5.457714083,286889.1233,3.755311807,4.576198794,5692.614928,37687.62706,3
9,5.474879936,298455.7401,3.786941646,4.607840853,6122.681188,40535.99647,3
10,5.492045788,310488.6925,3.818571485,4.639482913,6585.238138,43599.64098,3
11,5.509211641,323006.7819,3.850201323,4.671124973,7082.740388,46894.83076,3
12,5.526377494,336029.5679,3.881831162,4.702767033,7617.827989,50439.06561,3
13,5.543543346,349577.3985,3.913461001,4.734409092,8193.340443,54251.16794,3
14,5.560709199,363671.442,3.945090839,4.766051152,8812.331772,58351.38276,3
15,5.577875051,378333.7204,3.976720678,4.797693212,9478.086721,62761.48513,3
16,5.595040904,393587.1434,4.008350517,4.829335271,10194.13819,67504.89584,3
17,5.612206756,409455.5444,4.039980355,4.860977331,10964.286,72606.8058,3
18,5.629372609,425963.7177,4.071610194,4.892619391,11792.61701,78094.3098,3
19,5.646538461,443137.4572,4.103240033,4.924261451,12683.52685,83996.5504,3
20,5.663704314,461003.5968,4.134869871,4.95590351,13641.74325,90344.87272,3
