,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
0,5.320387263,209116,3.884547931,5.306606307,7665.631382,202584.5436,1
1,5.337553116,217547.0085,3.915779963,5.338086929,8237.206685,217814.5711,1
2,5.354718968,226317.9331,3.947011995,5.369567551,8851.400568,234189.5712,1
3,5.371884821,235442.4784,3.978244027,5.401048174,9511.390816,251795.6213,1
4,5.389050673,244934.9014,4.009476059,5.432528796,10220.59216,270725.27,1
5,5.406216526,254810.034,4.04070809,5.464009418,10982.67395,291078.0238,1
6,5.423382378,265083.306,4.071940122,5.49549004,11801.57912,312960.8695,1
7,5.440548231,275770.7694,4.103172154,5.526970662,12681.54462,336488.8376,1
8,5.457714083,286889.1233,4.134404186,5.558451284,13627.12331,361785.6059,1
9,5.474879936,298455.7401,4.165636218,5.589931906,14643.20754,388984.1506,1
10,5.492045788,310488.6925,4.19686825,5.621412528,15735.05443,418227.4444,1
11,5.509211641,323006.7819,4.228100281,5.65289315,16908.3131,449669.2089,1
12,5.526377494,336029.5679,4.259332313,5.684373772,18169.05389,483474.722,1
13,5.543543346,349577.3985,4.290564345,5.715854394,19523.79977,519821.6871,1
14,5.560709199,363671.442,4.321796377,5.747335016,20979.56006,558901.1671,1
15,5.577875051,378333.7204,4.353028409,5.778815639,22543.86674,600918.5887,1
16,5.595040904,393587.1434,4.38426044,5.810296261,24224.8134,646094.8223,1
17,5.612206756,409455.5444,4.415492472,5.841776883,26031.0971,694667.343,1
18,5.629372609,425963.7177,4.446724504,5.873257505,27972.06341,746891.4792,1
19,5.646538461,443137.4572,4.477956536,5.904738127,30057.7547,803041.754,1
20,5.663704314,461003.5968,4.509188568,5.936218749,32298.96216,863413.3294,1
21,5.680870166,479590.0524,4.540420599,5.967699371,34707.2816,928323.5569,1
22,5.698036019,498925.865,4.571652631,5.999179993,37295.17345,998113.646,1
23,5.715201871,519041.2469,4.602884663,6.030660615,40076.02724,1073150.458,1
24,5.732367724,539967.6282,4.634116695,6.062141237,43064.23085,1153828.435,1
25,5.749533577,561737.7062,4.665348727,6.093621859,46275.24499,1240571.671,1
26,5.766699429,584385.4967,4.696580759,6.125102482,49725.68317,1333836.144,1
27,5.783865282,607946.3868,4.72781279,6.156583104,53433.39764,1434112.112,1
28,5.801031134,632457.19,4.759044822,6.188063726,57417.5718,1541926.689,1
29,5.818196987,657956.2046,4.790276854,6.219544348,61698.8194,1657846.619,1
30,5.835362839,684483.2725,4.821508886,6.25102497,66299.29125,1782481.249,1
31,5.852528692,712079.8422,4.852740918,6.282505592,71242.78978,1916485.739,1
32,5.869694544,740789.0332,4.883972949,6.313986214,76554.89221,2060564.503,1
33,5.886860397,770655.7034,4.915204981,6.345466836,82263.08291,2215474.911,1
34,5.904026249,801726.5195,4.946437013,6.374584667,88396.89553,2369106.95,1
35,5.921192102,834050.0293,4.977669045,6.379138564,94988.06588,2394079.48,1
36,5.938357954,867676.7382,4.995090796,6.383692462,98875.97875,2419315.244,1
37,5.955523807,902659.1878,5.004143267,6.38824636,100958.5877,2444817.015,1
38,5.97268966,939052.038,5.013195738,6.392800257,103085.0622,2470587.599,1
39,5.989855512,976912.1524,5.022248209,6.397354155,105256.3264,2496629.827,1
40,6.007021365,1016298.687,5.031300679,6.401908052,107473.3236,2522946.564,1
41,6.024187217,1057273.184,5.04035315,6.40646195,109737.017,2549540.704,1
42,6.04135307,1099899.665,5.049405621,6.411015848,112048.3902,2576415.17,1
43,6.058518922,1144244.734,5.058458092,6.415569745,114408.4475,2603572.916,1
44,6.075684775,1190377.679,5.067510563,6.420123643,116818.2144,2631016.931,1
45,6.092850627,1238370.584,5.076563034,6.42467754,119278.7377,2658750.229,1
46,6.11001648,1288298.437,5.085615505,6.429231438,121791.0867,2686775.862,1
47,6.127182332,1340239.25,5.094667976,6.433785336,124356.3528,2715096.911,1
48,6.144348185,1394274.18,5.103720447,6.438339233,126975.6508,2743716.489,1
49,6.161514038,1450487.657,5.112772918,6.442893131,129650.1186,2772637.743,1
50,6.17867989,1508967.514,5.121825389,6.447447028,132380.9183,2801863.853,1
51,6.195845743,1569805.125,5.13087786,6.452000926,135169.2364,2831398.033,1
52,6.213011595,1633095.549,5.139930331,6.456554824,138016.2844,2861243.53,1
53,6.230177448,1698937.677,5.148982802,6.461108721,140923.2993,2891403.625,1
54,6.2473433,1767434.386,5.158035273,6.465662619,143891.5442,2921881.636,1
55,6.264509153,1838692.704,5.167087744,6.470216516,146922.3088,2952680.912,1
56,6.281675005,1912823.97,5.176140215,6.474770414,150016.9099,2983804.84,1
57,6.298840858,1989944.013,5.185192686,6.479324312,153176.692,3015256.842,1
58,6.31600671,2070173.335,5.194245157,6.483878209,156403.0282,3047040.377,1
59,6.333172563,2153637.293,5.203297628,6.488432107,159697.3201,3079158.94,1
60,6.350338415,2240466.298,5.212350099,6.492986004,163060.9992,3111616.061,1
61,6.367504268,2330796.021,5.22140257,6.497539902,166495.527,3144415.309,1
62,6.384670121,2424767.601,5.230455041,6.5020938,170002.3956,3177560.292,1
63,6.401835973,2522527.869,5.239507512,6.506647697,173583.1289,3211054.652,1
64,6.419001826,2624229.575,5.248559983,6.511201595,177239.2825,3244902.073,1
65,6.436167678,2730031.626,5.257612454,6.515755493,180972.4452,3279106.277,1
66,6.453333531,2840099.338,5.266664925,6.52030939,184784.2388,3313671.024,1
67,6.470499383,2954604.692,5.275717396,6.524863288,188676.3197,3348600.114,1
