,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
0,5.320387263,209116,4.230426252,5.565671442,16999.11267,367850.5777,1
1,5.337553116,217547.0085,4.252584008,5.587488444,17888.9153,386801.7625,1
2,5.354718968,226317.9331,4.274741763,5.609305446,18825.29382,406729.2877,1
3,5.371884821,235442.4784,4.296899519,5.631122448,19810.68619,427683.4532,1
4,5.389050673,244934.9014,4.319057274,5.65293945,20847.658,449717.1501,1
5,5.406216526,254810.034,4.341215029,5.674756452,21938.90912,472885.9946,1
6,5.423382378,265083.306,4.363372785,5.696573454,23087.28077,497248.4678,1
7,5.440548231,275770.7694,4.38553054,5.718390455,24295.76286,522866.0641,1
8,5.457714083,286889.1233,4.407688295,5.740207457,25567.5018,549803.4457,1
9,5.474879936,298455.7401,4.429846051,5.762024459,26905.80873,578128.6063,1
10,5.492045788,310488.6925,4.452003806,5.783841461,28314.16809,607913.0424,1
11,5.509211641,323006.7819,4.474161561,5.805658463,29796.24669,639231.9341,1
12,5.526377494,336029.5679,4.496319317,5.827475465,31355.90331,672164.3344,1
13,5.543543346,349577.3985,4.518477072,5.849292467,32997.1987,706793.3693,1
14,5.560709199,363671.442,4.540634827,5.871109468,34724.40615,743206.4472,1
15,5.577875051,378333.7204,4.562792583,5.89292647,36542.02267,781495.4797,1
16,5.595040904,393587.1434,4.584950338,5.914743472,38454.78061,821757.1134,1
17,5.612206756,409455.5444,4.607108093,5.936560474,40467.66008,864092.9743,1
18,5.629372609,425963.7177,4.629265849,5.958377476,42585.90184,908609.9239,1
19,5.646538461,443137.4572,4.651423604,5.980194478,44815.02098,955420.329,1
20,5.663704314,461003.5968,4.673581359,6.00201148,47160.82127,1004642.345,1
21,5.680870166,479590.0524,4.695739115,6.023828481,49629.41028,1056400.216,1
22,5.698036019,498925.865,4.71789687,6.045645483,52227.21527,1110824.586,1
23,5.715201871,519041.2469,4.740054625,6.067462485,54960.99993,1168052.828,1
24,5.732367724,539967.6282,4.762212381,6.089279487,57837.88198,1228229.395,1
25,5.749533577,561737.7062,4.784370136,6.111096489,60865.35173,1291506.181,1
26,5.766699429,584385.4967,4.806527891,6.132913491,64051.29155,1358042.904,1
27,5.783865282,607946.3868,4.828685647,6.154730493,67403.99641,1428007.514,1
28,5.801031134,632457.19,4.850843402,6.176547494,70932.19546,1501576.609,1
29,5.818196987,657956.2046,4.873001157,6.198364496,74645.07478,1578935.889,1
30,5.835362839,684483.2725,4.895158913,6.220181498,78552.3013,1660280.619,1
31,5.852528692,712079.8422,4.917316668,6.2419985,82664.04792,1745816.123,1
32,5.869694544,740789.0332,4.939474424,6.263815502,86991.02008,1835758.306,1
33,5.886860397,770655.7034,4.961632179,6.285632504,91544.48353,1930334.194,1
34,5.904026249,801726.5195,4.983789934,6.307449506,96336.29377,2029782.508,1
35,5.921192102,834050.0293,5.00594769,6.329266507,101378.9268,2134354.271,1
36,5.938357954,867676.7382,5.028105445,6.351083509,106685.5118,2244313.435,1
37,5.955523807,902659.1878,5.0502632,6.372900511,112269.8649,2359937.553,1
38,5.97268966,939052.038,5.072420956,6.394717513,118146.5259,2481518.476,1
39,5.989855512,976912.1524,5.094578711,6.416534515,124330.7951,2609363.09,1
