city,district,code,population_district,travel_pattern,total_frequency,total_distance
深圳市,龙岗区,3,4135273,1,24060,249171.445
深圳市,龙岗区,3,4135273,3,6451,38904.945
广州市,白云区,3,3742991,1,99752,826495.632
广州市,白云区,3,3742991,2,556559,8038022.986
广州市,白云区,3,3742991,3,159335,684604.787
佛山市,南海区,3,3667247,1,28620,234430.969
佛山市,南海区,3,3667247,2,142959,2623717.321
佛山市,南海区,3,3667247,3,54697,232833.752
佛山市,顺德区,3,3229090,1,22569,136582.938
佛山市,顺德区,3,3229090,2,78879,1174029.807
佛山市,顺德区,3,3229090,3,34753,122221.715
广州市,番禺区,3,2658397,1,25265,224666.859
广州市,番禺区,3,2658397,2,100818,1690097.356
广州市,番禺区,3,2658397,3,29721,148094.372
惠州市,惠城区,3,2090578,1,27205,220794.176
惠州市,惠城区,3,2090578,2,216556,4828560.998
惠州市,惠城区,3,2090578,3,36688,348557.295
广州市,花都区,3,1642360,1,70286,563334.509
广州市,花都区,3,1642360,2,355157,6711133.115
广州市,花都区,3,1642360,3,127526,641977.974
广州市,增城区,3,1466331,1,20365,218498.165
广州市,增城区,3,1466331,2,125974,2572080.303
广州市,增城区,3,1466331,3,42235,269978.869
惠州市,惠阳区,3,1404137,1,15384,156983.927
惠州市,惠阳区,3,1404137,2,147080,3871789.827
惠州市,惠阳区,3,1404137,3,24174,262814.284
惠州市,博罗县,3,1210878,1,13783,163504.715
惠州市,博罗县,3,1210878,2,171899,6433356.012
惠州市,博罗县,3,1210878,3,29716,482165.171
惠州市,惠东县,3,1018076,1,10707,106700.406
惠州市,惠东县,3,1018076,2,106089,3941704.963
惠州市,惠东县,3,1018076,3,23960,325987.218
江门市,新会区,3,909277,1,9193,104777.501
江门市,新会区,3,909277,2,65511,1201169.481
江门市,新会区,3,909277,3,23717,123802.661
江门市,台山市,3,907744,1,8575,98891.101
江门市,台山市,3,907744,2,59246,1559390.61
江门市,台山市,3,907744,3,20912,190058.062
江门市,蓬江区,3,853007,1,22584,146987.202
江门市,蓬江区,3,853007,2,84487,1015938.154
江门市,蓬江区,3,853007,3,41318,121110.779
广州市,南沙区,3,846584,1,24657,245714.66
广州市,南沙区,3,846584,2,142096,3235973.55
