distance_range,start_zone,total_frequency,district,city,city_code,population_district
[0-790],440306,208595,宝安区,深圳市,V0440300,4476554
[0-790],442000,178185,中山市,中山市,V0442000,4418060
[0-790],440307,124474,龙岗区,深圳市,V0440300,4135273
[0-790],440111,227738,白云区,广州市,V0440100,3742991
[0-790],440605,147852,南海区,佛山市,V0440600,3667247
[0-790],440606,115751,顺德区,佛山市,V0440600,3229090
[0-790],440113,129276,番禺区,广州市,V0440100,2658397
[0-790],440309,101423,龙华区,深圳市,V0440300,2528872
[0-790],440106,139508,天河区,广州市,V0440100,2241826
[0-790],440105,116838,海珠区,广州市,V0440100,1819037
[0-790],440305,80203,南山区,深圳市,V0440300,1795826
[0-790],440114,94278,花都区,广州市,V0440100,1642360
[0-790],440304,84960,福田区,深圳市,V0440300,1553225
[0-790],440118,59773,增城区,广州市,V0440100,1466331
[0-790],440402,88621,香洲区,珠海市,V0440400,1384317
[0-790],440604,76810,禅城区,佛山市,V0440600,1330262
[0-790],440112,61146,黄埔区,广州市,V0440100,1264447
[0-790],440103,46726,荔湾区,广州市,V0440100,1238305
[0-790],440303,44283,罗湖区,深圳市,V0440300,1143801
[0-790],440104,74950,越秀区,广州市,V0440100,1038643
[0-790],441323,11816,惠东县,惠州市,V0441300,1018076
[0-790],440705,23218,新会区,江门市,V0440700,909277
[0-790],440781,16359,台山市,江门市,V0440700,907744
[0-790],440703,46290,蓬江区,江门市,V0440700,853007
[0-790],440115,24363,南沙区,广州市,V0440100,846584
[0-790],441224,4002,怀集县,肇庆市,V0441200,805177
[0-790],440607,20097,三水区,佛山市,V0440600,803226
[0-790],440783,19998,开平市,江门市,V0440700,748777
[0-790],441204,8345,高要区,肇庆市,V0441200,741591
[0-790],440117,25749,从化区,广州市,V0440100,717684
[0-790],441284,13070,四会市,肇庆市,V0441200,640910
[0-790],440403,14010,斗门区,珠海市,V0440400,608899
[0-790],441202,14413,端州区,肇庆市,V0441200,602402
[0-790],440310,25529,坪山区,深圳市,V0440300,551333
[0-790],440784,16160,鹤山市,江门市,V0440700,530684
[0-790],440785,10392,恩平市,江门市,V0440700,483907
[0-790],440608,13412,高明区,佛山市,V0440600,469038
[0-790],440404,14549,金湾区,珠海市,V0440400,446369
[0-790],441223,3854,广宁县,肇庆市,V0441200,408112
[0-790],441225,1745,封开县,肇庆市,V0441200,374848
[0-790],440704,17910,江海区,江门市,V0440700,364694
[0-790],441226,3543,德庆县,肇庆市,V0441200,331438
[0-790],441324,1335,龙门县,惠州市,V0441300,319183
[11180-18469],440306,210845,宝安区,深圳市,V0440300,4476554
[11180-18469],442000,161462,中山市,中山市,V0442000,4418060
[11180-18469],440307,135562,龙岗区,深圳市,V0440300,4135273
[11180-18469],440111,270751,白云区,广州市,V0440100,3742991
[11180-18469],440605,214914,南海区,佛山市,V0440600,3667247
[11180-18469],440606,122786,顺德区,佛山市,V0440600,3229090
[11180-18469],440113,177399,番禺区,广州市,V0440100,2658397
[11180-18469],440309,132813,龙华区,深圳市,V0440300,2528872
[11180-18469],440106,201249,天河区,广州市,V0440100,2241826
[11180-18469],441302,90107,惠城区,惠州市,V0441300,2090578
[11180-18469],440105,111474,海珠区,广州市,V0440100,1819037
[11180-18469],440305,160369,南山区,深圳市,V0440300,1795826
[11180-18469],440114,61637,花都区,广州市,V0440100,1642360
[11180-18469],440304,153872,福田区,深圳市,V0440300,1553225
[11180-18469],440118,48721,增城区,广州市,V0440100,1466331
[11180-18469],441303,42373,惠阳区,惠州市,V0441300,1404137
[11180-18469],440402,72298,香洲区,珠海市,V0440400,1384317
[11180-18469],440604,61684,禅城区,佛山市,V0440600,1330262
[11180-18469],440112,95153,黄埔区,广州市,V0440100,1264447
[11180-18469],440103,64145,荔湾区,广州市,V0440100,1238305
[11180-18469],441322,28628,博罗县,惠州市,V0441300,1210878
[11180-18469],440303,57063,罗湖区,深圳市,V0440300,1143801
[11180-18469],440104,100504,越秀区,广州市,V0440100,1038643
[11180-18469],441323,11240,惠东县,惠州市,V0441300,1018076
[11180-18469],440705,23951,新会区,江门市,V0440700,909277
[11180-18469],440781,13584,台山市,江门市,V0440700,907744
[11180-18469],440703,19265,蓬江区,江门市,V0440700,853007
[11180-18469],440115,39788,南沙区,广州市,V0440100,846584
[11180-18469],441224,5200,怀集县,肇庆市,V0441200,805177
[11180-18469],440607,27051,三水区,佛山市,V0440600,803226
[11180-18469],440783,15423,开平市,江门市,V0440700,748777
[11180-18469],441204,14973,高要区,肇庆市,V0441200,741591
[11180-18469],440117,18761,从化区,广州市,V0440100,717684
[11180-18469],441284,14879,四会市,肇庆市,V0441200,640910
[11180-18469],440403,18810,斗门区,珠海市,V0440400,608899
[11180-18469],441202,9992,端州区,肇庆市,V0441200,602402
[11180-18469],440310,19222,坪山区,深圳市,V0440300,551333
[11180-18469],440784,9714,鹤山市,江门市,V0440700,530684
[11180-18469],440785,7914,恩平市,江门市,V0440700,483907
