distance,break_x,break_y,k1,k2,r2,mae,rmse
"(0, 0.79]",6.21662065,4.89034836,1.73926254,0.84930946,0.822912604,0.17273404,0.24242158
"(0.79, 1.77]",6.21547585,5.0813989,1.85590917,0.87650594,0.790145993,0.20648056,0.28551307
"(1.7, 2.50]",6.22007438,4.93562419,1.77527856,0.97831305,0.762944221,0.21580787,0.30039993
"(2.50, 3.61]",6.23736317,5.00069007,1.75377108,0.92873243,0.740329832,0.22514029,0.31392664
"(3.61, 5.26]",6.2542708,5.00192214,1.64906311,0.83903386,0.762919635,0.21387546,0.27986053
"(5.26, 7.46]",6.2598765,5.02033426,1.67083675,0.75478944,0.789717451,0.19819176,0.25855312
"(7.46, 11.18]",6.35060008,5.1379853,1.63252365,0.56313682,0.798729926,0.19294989,0.25220582
"(11.18, 18.47]",6.38309109,5.16683287,1.66261619,0.41721991,0.830132723,0.17431194,0.22364137
"(18.47, 35.64]",6.2397024,4.90223065,1.56282696,0.84048282,0.785455674,0.1997223,0.24343102
"(35.64, Max]",6.32026124,4.83611311,1.05746281,0.34704368,0.700061858,0.17775418,0.21006504
