district,k,b,r2,rmse,mae,total_frequency,total_distance,city,population_district,,,,,,,,,
鼎湖区,-4.1090736,-0.033928156,0.976875792,0.210734856,0.168962188,61587,1354859.528,肇庆市,209116,,,,,,,,,
盐田区,-4.4355726,0.12477946,0.958808267,0.351089091,0.288825133,78788,1375242.004,深圳市,214225,,,,,,,,,
龙门县,-4.33675,-0.02254939,0.983598252,0.186672059,0.152549445,34442,1552907.77,惠州市,319183,,,,,,,,,
德庆县,-3.596388,-0.060609818,0.977024157,0.183835069,0.149787849,38356,849654.463,肇庆市,331438,,,,,,,,,
江海区,-4.6676245,0.20752668,0.949055475,0.412978427,0.332283082,156261,1289780.58,江门市,364694,,,,,,,,,
封开县,-4.0930953,0.10209584,0.957375558,0.329813568,0.28717542,22637,792314.974,肇庆市,374848,,,,,,,,,
广宁县,-3.4830818,-0.15645385,0.983369123,0.150987747,0.127550197,70359,2287368.228,肇庆市,408112,,,,,,,,, 
高明区,-3.9575822,0.21201372,0.904492999,0.491103909,0.398927737,183920,2757485.786,佛山市,469038,,,,,,,,, 
恩平市,-3.8595216,0.22490382,0.877624951,0.550368945,0.449475547,94705,1616952.283,江门市,483907,,,,,,,,, 
鹤山市,-4.210777,0.18985057,0.916424079,0.485604906,0.399284664,152377,2079582.117,江门市,530684,,,,,,,,, 
坪山区,-4.902595,0.16546202,0.968864677,0.335621386,0.286347527,242336,3191415.959,深圳市,551333,,,,,,,,, 
端州区,-3.230136,-0.025779128,0.94887772,0.249919139,0.199253646,234904,4427938.168,肇庆市,602402,,,,,,,,, 
四会市,-3.9911673,0.027614832,0.965807138,0.250323261,0.200332835,182858,3729001.791,肇庆市,640910,,,,,,,,, 
从化区,-3.887307,0.1591475,0.925228357,0.422008646,0.345699657,241703,4562593.746,广州市,717684,,,,,,,,, 
高要区,-4.1106253,-0.008548498,0.972567894,0.230120959,0.191601989,172365,4110530.558,肇庆市,741591,,,,,,,,,
开平市,-4.1842594,0.20820045,0.929282801,0.440793974,0.353029143,180936,2412726.265,江门市,748777,,,,,,,,,
三水区,-4.241031,0.22884798,0.906013156,0.521634344,0.426608378,302204,4462759.092,佛山市,803226,,,,,,,,,
怀集县,-4.2899165,0.10221434,0.945196573,0.394475563,0.329526375,67550,4766764.163,肇庆市,805177,,,,,,,,,
南沙区,-4.3970714,0.21845031,0.909049224,0.531130819,0.435616366,440902,8034469.634,广州市,846584,,,,,,,,,
蓬江区,-4.332302,0.25236368,0.9209121,0.484834044,0.387936602,373593,3209646.449,江门市,853007,,,,,,,,,
台山市,-3.651422,0.15167284,0.898474768,0.468731983,0.384112324,194910,4340509.161,江门市,907744,,,,,,,,,
新会区,-4.06338,0.23759842,0.897055429,0.525663679,0.432192129,270930,3356428.089,江门市,909277,,,,,,,,,
惠东县,-4.465796,0.18835902,0.937472847,0.44043552,0.362909123,210204,6683758.18,惠州市,1018076,,,,,,,,,
越秀区,-4.4456515,-0.024079323,0.982055053,0.200316777,0.160721286,869968,10633745.86,广州市,1038643,,,,,,,,,
罗湖区,-4.535999,0.17411566,0.928832759,0.479482403,0.388326027,522897,6478794.314,深圳市,1143801,,,,,,,,,
博罗县,-3.9277074,-0.060223937,0.978984925,0.191820627,0.155538679,292750,9090102.803,惠州市,1210878,,,,,,,,,
荔湾区,-4.785375,0.21652222,0.965064112,0.378895048,0.318651237,608605,6180601.356,广州市,1238305,,,,,,,,,
黄埔区,-4.107639,0.13127804,0.946549036,0.372758003,0.300657844,819653,9569455.338,广州市,1264447,,,,,,,,,
禅城区,-4.1610255,0.23384213,0.906048317,0.511688259,0.416351709,855074,8481150.487,佛山市,1330262,,,,,,,,,
惠阳区,-4.574098,0.13416219,0.946217422,0.416446616,0.340282036,460518,10793986.33,惠州市,1404137,,,,,,,,,
增城区,-4.6135283,0.42751336,0.912248181,0.61575494,0.547963577,681556,8996933.328,广州市,1466331,,,,,,,,,
福田区,-4.7413573,0.22873473,0.9319121,0.489416524,0.399143239,977699,10314776.47,深圳市,1553225,,,,,,,,,
花都区,-4.1605325,0.2281177,0.897097651,0.538108884,0.437987757,949941,11809948.99,广州市,1642360,,,,,,,,,
南山区,-4.273462,0.20494914,0.925040075,0.464560778,0.375594932,1214517,13165851.34,深圳市,1795826,,,,,,,,,
海珠区,-4.847057,0.2702837,0.922967067,0.534751127,0.433107963,1105235,10327617.31,广州市,1819037,,,,,,,,,
惠城区,-4.271601,0.19343734,0.908008217,0.519216921,0.423961796,765097,14802295.95,惠州市,2090578,,,,,,,,,
天河区,-4.693521,0.28188276,0.935167371,0.471931953,0.377801427,1711218,18552926.26,广州市,2241826,,,,,,,,,
龙华区,-5.005037,0.3961153,0.88682936,0.682782835,0.551586444,1059309,12104748.67,深圳市,2528872,,,,,,,,,
番禺区,-4.6486163,0.2424314,0.932872676,0.476201386,0.387471348,1536842,25360912.38,广州市,2658397,,,,,,,,,
顺德区,-4.737004,0.52612424,0.89181573,0.709988581,0.62070738,1524748,16888241.81,佛山市,3229090,,,,,,,,,
南海区,-4.074228,0.17813659,0.921714349,0.453436659,0.369658696,2144218,26548153.55,佛山市,3667247,,,,,,,,,
白云区,-5.130959,0.50160193,0.926023806,0.624074775,0.553507414,2290121,24335944.15,广州市,3742991,,,,,,,,,
龙岗区,-4.735405,0.29400015,0.911278307,0.56425442,0.458372826,1396894,16122854.36,深圳市,4135273,,,,,,,,,
宝安区,-4.7322044,0.4983406,0.900901801,0.675399635,0.598154968,2276587,25512264.96,深圳市,4476554,,,,,,,,,
